,Hisse,Gelir,OynaklÄ±k
0,AEFES,0.6960512065755394,0.37725726354194367
1,AKBNK,0.6629536245797721,0.4382674170937032
2,ASELS,0.5997358309236961,0.41680907026812125
3,BIMAS,0.43378284016291324,0.3329231287522301
4,CIMSA,1.0392328118142407,0.4411846396368994
5,EKGYO,0.721017095999616,0.46898430909426897
6,ENKAI,0.7732139327230112,0.41066703209901395
7,EREGL,0.900761418444191,0.43809677077025255
8,FROTO,0.8820417020999279,0.4923440578448466
9,GARAN,0.6813010012139796,0.4280958703379466
10,GUBRF,0.7895352235121982,0.5046189865341772
11,ISCTR,0.7737484410369184,0.4583126394970712
12,KCHOL,0.8084731373410384,0.3951300699049247
13,KOZAL,0.8724063362086101,0.4816780309557092
14,KRDMD,0.6829484386333,0.4690099474914715
15,MGROS,0.6366926298714815,0.40278355121052617
16,PETKM,0.8396280781694534,0.4401362957339855
17,PGSUS,1.0755818442955734,0.4971581423038924
18,SAHOL,0.8447884448455274,0.3860680759245703
19,SASA,1.7336205432474687,0.5887442137301219
20,SISE,0.9924905307053895,0.38348377232766606
21,TAVHL,0.8657109323402729,0.4524488115270419
22,TCELL,0.5631727206478412,0.3809470139926975
23,THYAO,1.2644127435666919,0.44068334156118094
24,TOASO,0.9852378228205378,0.4449683994862895
25,TTKOM,0.5885377722840658,0.4031966214432906
26,TUPRS,0.9164263514494699,0.41667165507065423
27,ULKER,0.27757021997564385,0.33659111364487854
28,YKBNK,0.8512000412109768,0.4613572363765708
